Year,Competition,0,1,2,3,4,5,6,7,8,9
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Zinan Ni,Birmingham Uni,,285.0,283.0,568,60.0,35.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,John Wong,Birmingham Uni,,283.0,278.0,561,60.0,30.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Daniel Ashenden,Birmingham Uni,,274.0,275.0,549,60.0,22.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Ned Groom,Cambridge Uni,,275.0,271.0,546,60.0,15.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Rokas Povilonis,Cambridge Uni,,267.0,270.0,537,60.0,21.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Edward McDonald,Birmingham Uni,,264.0,258.0,522,60.0,15.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Dominic Herd,Birmingham Uni,,259.0,243.0,502,60.0,12.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Harry Durham,Cambridge Uni,,237.0,265.0,502,59.0,13.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Gunn Gin,Birmingham Uni,,257.0,237.0,494,60.0,6.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Tom Jeffrey,Cambridge Uni,,225.0,238.0,463,59.0,6.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Men,Mingxuan Ni,Cambridge Uni,,233.0,204.0,437,59.0,3.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,MJ Tulloch,Birmingham Uni,,259.0,270.0,529,60.0,14.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,Cat Darsley,Cambridge Uni,,254.0,261.0,515,60.0,11.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,Natalie Price,Birmingham Uni,,264.0,248.0,512,60.0,14.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,Cherida Zhang,Cambridge Uni,,256.0,254.0,510,60.0,12.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,Xinhu Zhang,Cambridge Uni,,239.0,243.0,482,60.0,7.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,Basia Kraus,Cambridge Uni,,247.0,230.0,477,60.0,6.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,Dafni Lima,Cambridge Uni,,236.0,236.0,472,60.0,6.0
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,Vicki Hodgson,Cambridge Uni,,,,DNS,,
2023,Cambridge BUTTS 2023,Portsmouth,Recurve Women,Emily Naden,Cambridge Uni,,,,DNS,,
2023,Cambridge BUTTS 2023,Portsmouth,Compound Women,Zara Green,Birmingham Uni,,284.0,285.0,569,60.0,29.0
2023,Cambridge BUTTS 2023,Portsmouth,Barebow Women,Lydia Bignall,Birmingham Uni,,197.0,216.0,413,60.0,5.0
2023,Cambridge BUTTS 2023,Portsmouth,Barebow Women,Anca-Luiza Cotirlan,Cambridge Uni,,193.0,156.0,349,60.0,1.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Men,Guy O'Keefe,Birmingham Uni,Novice,269.0,266.0,535,59.0,25.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Men,James O'Donnell,Birmingham Uni,Novice,245.0,244.0,489,60.0,11.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Men,Brad- Lee Charlton,Birmingham Uni,Novice,242.0,236.0,478,60.0,11.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Men,Ryan Yeap,Cambridge Uni,Novice,245.0,228.0,473,60.0,4.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Men,Matthew Keeble,Cambridge Uni,Novice,235.0,222.0,457,60.0,9.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Men,Benedict Michael Ewan Brown,Cambridge Uni,Novice,186.0,206.0,392,60.0,2.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Men,Thomas Greenwood,Birmingham Uni,Novice,180.0,198.0,378,58.0,3.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Men,Yuvaraj Vithian,Cambridge Uni,Novice,195.0,177.0,372,59.0,3.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Women,Emily Nichols,Birmingham Uni,Novice,268.0,274.0,542,60.0,20.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Women,Alia Ghosheh,Birmingham Uni,Novice,265.0,260.0,525,60.0,14.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Women,Ariadne Marcos,Birmingham Uni,Novice,200.0,228.0,428,60.0,4.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Women,Charlotte Magdalena Fischer,Cambridge Uni,Novice,210.0,215.0,425,60.0,3.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Women,Ashley Quinn Dubois,Cambridge Uni,Novice,177.0,190.0,367,58.0,5.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Women,Lucy Cowell,Birmingham Uni,Novice,169.0,191.0,360,59.0,2.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Recurve Women,Jessica Sheridan,Cambridge Uni,Novice,115.0,178.0,293,55.0,2.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Longbow Men,Samuel Davies Jelly,Birmingham Uni,Novice,105.0,137.0,242,45.0,1.0
2023,Cambridge BUTTS 2023,Portsmouth,Novice Barebow Men,Alex Kendrew,Birmingham Uni,Novice,244.0,246.0,490,60.0,12.0
